container_id,machine_id,time_stamp,app_du,status,cpu_request,cpu_limit,mem_size
c_1,m_2556,287942,app_5052,started,400,400,1.56
c_2,m_962,0,app_8125,started,800,800,3.13
c_3,m_644,0,app_66,started,400,400,1.56
c_4,m_1423,0,app_3222,started,400,400,1.56
c_5,m_334,0,app_5955,started,400,400,1.56
c_6,m_2825,0,app_8384,started,400,400,1.56
c_7,m_2250,0,app_626,started,400,400,1.56
c_8,m_1646,0,app_2943,started,400,400,1.56
c_9,m_434,0,app_239,started,400,480,1.56
c_10,m_1165,0,app_5102,started,800,800,3.13
c_11,m_3681,0,app_5608,started,400,400,1.56
c_12,m_548,336634,app_4474,started,800,800,3.13
c_13,m_1259,0,app_2617,started,800,960,3.13
c_14,m_1821,0,app_489,started,400,400,1.56
c_15,m_2287,343791,app_2895,started,800,800,3.13
c_16,m_2514,0,app_8866,started,400,400,1.56
c_17,m_969,0,app_442,started,800,800,3.13
c_18,m_1622,0,app_9317,started,400,400,1.56
c_19,m_690,164380,app_7876,started,800,800,3.13
c_20,m_789,0,app_338,started,400,400,1.56
c_21,m_1218,0,app_6190,started,400,400,1.56
c_22,m_2721,0,app_9773,started,400,400,1.56
c_23,m_2525,0,app_2562,started,800,800,3.13
c_24,m_1724,0,app_5839,started,400,400,1.56
c_25,m_2191,0,app_9470,started,400,400,1.56
c_26,m_3427,234929,app_28,started,800,800,3.13
c_27,m_1386,0,app_6597,started,800,800,3.13
c_28,m_3760,0,app_2413,started,400,400,1.56
c_29,m_647,0,app_2706,started,400,400,1.56
c_30,m_2146,0,app_6556,started,400,400,1.56
c_31,m_2228,0,app_9529,started,400,400,2.34
c_32,m_1088,0,app_6230,started,400,480,1.56
c_34,m_786,0,app_5420,started,400,400,1.56
c_35,m_1005,558811,app_701,started,400,400,1.56
c_36,m_2606,0,app_5305,started,400,400,1.56
c_37,m_554,0,app_713,started,400,400,1.56
c_38,m_2194,0,app_8592,started,400,400,1.56
c_39,m_1520,0,app_5367,started,400,400,1.56
c_40,m_849,0,app_7105,started,800,800,3.13
c_41,m_1844,0,app_1421,started,400,400,1.56
c_42,m_3861,0,app_1093,started,400,400,1.95
c_43,m_2790,0,app_2365,started,400,400,1.56
c_44,m_2781,0,app_4265,started,400,400,1.56
c_45,m_2042,0,app_1364,started,400,400,1.56
c_46,m_1637,0,app_1270,started,400,400,1.56
c_47,m_1382,0,app_3453,started,400,400,1.56
c_48,m_2654,0,app_4038,started,800,800,2.34
c_49,m_3895,0,app_4038,started,800,800,2.34
c_50,m_2906,0,app_9306,started,400,400,1.56
c_51,m_504,0,app_2971,started,800,800,1.56
c_52,m_778,0,app_5866,started,400,400,1.56
c_53,m_2503,0,app_1596,started,400,400,1.56
c_54,m_2954,0,app_9741,started,400,400,1.56
c_55,m_2651,0,app_8832,started,400,400,1.56
c_56,m_2567,0,app_2930,started,400,480,1.56
c_57,m_2257,0,app_943,started,400,400,1.56
c_58,m_3421,0,app_8111,started,400,400,1.56
c_59,m_2637,0,app_1261,started,400,400,1.56
c_60,m_1277,0,app_4220,started,800,800,3.13
c_61,m_521,0,app_403,started,400,400,1.56
c_62,m_1089,0,app_6803,started,400,400,1.56
c_63,m_673,0,app_1825,started,800,800,6.25
c_64,m_2462,0,app_4872,started,400,400,1.56
c_65,m_3261,0,app_6523,started,400,400,1.56
c_66,m_3558,0,app_7073,started,400,400,1.56
c_67,m_1344,0,app_1230,started,800,800,3.13
c_68,m_3831,0,app_8596,started,400,480,1.56
c_69,m_2623,0,app_5535,started,400,400,1.56
c_70,m_4019,0,app_8417,started,2400,2400,9.38
c_71,m_2766,0,app_2506,started,400,400,1.56
c_72,m_3483,0,app_1254,started,800,800,3.13
c_73,m_3821,0,app_8713,started,400,400,1.56
c_74,m_3766,0,app_7627,started,400,400,1.56
c_75,m_959,0,app_442,started,800,800,3.13
c_76,m_3065,0,app_3073,started,400,400,1.56
c_77,m_3898,0,app_943,started,400,400,1.56
c_78,m_1461,423,app_7264,started,800,800,3.13
c_79,m_179,0,app_552,started,800,800,3.13
c_80,m_1421,0,app_8047,started,400,400,1.56
c_81,m_1501,0,app_3269,started,400,400,1.56
c_82,m_1138,0,app_3514,started,400,400,1.56
c_83,m_2220,0,app_2830,started,400,400,1.56
c_84,m_1852,0,app_1093,started,400,400,1.95
c_85,m_2135,0,app_2965,started,400,400,1.56
c_86,m_3787,0,app_7793,started,400,480,1.56
c_87,m_111,0,app_6702,started,400,400,1.56
c_88,m_1776,0,app_3721,started,400,400,1.56
c_90,m_1130,0,app_9770,started,400,400,1.56
c_91,m_2847,0,app_1754,started,400,400,1.56
c_92,m_3619,0,app_6043,started,400,400,1.56
c_93,m_3965,0,app_7671,started,400,400,1.56
c_94,m_1261,0,app_9678,started,800,800,3.13
c_95,m_2421,383081,app_6140,started,400,400,1.56
c_96,m_572,0,app_782,started,400,400,1.56
c_97,m_1746,0,app_2557,started,400,400,1.56
c_98,m_3516,0,app_63,started,400,400,1.56
c_99,m_2409,0,app_9678,started,800,800,3.13
c_100,m_2664,0,app_5534,started,400,400,1.56
c_101,m_1122,0,app_3652,started,400,480,1.56
c_102,m_1006,0,app_1190,started,400,400,1.56
c_103,m_590,0,app_9059,started,400,480,1.95
c_104,m_1074,0,app_6610,started,400,480,1.56
c_105,m_705,0,app_2441,started,800,800,3.13
c_106,m_1346,0,app_4450,started,400,400,1.56
c_107,m_3677,0,app_6686,started,400,400,1.56
c_108,m_2014,0,app_7037,started,400,400,1.56
c_109,m_1596,0,app_8775,started,400,400,1.56
c_110,m_3598,0,app_7048,started,400,400,1.56
c_111,m_1969,0,app_5017,started,400,400,1.56
c_112,m_1728,0,app_3488,started,400,400,1.56
c_113,m_1464,0,app_9410,started,400,400,1.56
c_114,m_2404,0,app_746,started,1600,1600,6.25
c_115,m_131,0,app_7414,started,800,800,3.13
c_116,m_2572,0,app_2213,started,400,400,1.56
c_117,m_488,0,app_3680,started,400,400,1.56
c_118,m_1094,0,app_1225,started,400,400,1.56
c_119,m_265,0,app_2791,started,400,400,1.56
c_120,m_267,0,app_4870,started,400,400,1.56
c_121,m_2570,0,app_2299,started,400,400,1.56
c_122,m_1988,0,app_3128,started,800,800,3.13
c_123,m_3347,0,app_8011,started,400,400,1.56
c_124,m_2342,0,app_1566,started,400,400,1.56
c_125,m_1798,0,app_1588,started,800,800,3.13
c_126,m_3447,0,app_2617,started,800,800,3.13
c_127,m_3626,0,app_5542,started,400,400,1.56
c_128,m_202,0,app_9617,started,800,800,1.56
